Menu,Category,Base Type,Flavor Tags,Customizable Sweetness,Available Sweetness Level,Allergens,Contains Caffeine,Contains Gluten,Oat Milk Substitution ,Vegan-friendly,Contains dairy
Passion Fruit Swirl,Slush,Water,"Bold, Sweet, Tart, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,No,Yes
Blueberry Creamsicle,Slush,Water,"Fruity, Sweet, Icy",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,No,No
Blueberry Lemon Slush,Slush,Water,"Fruity, Sweet",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,No,No
Passion Grape Slush,Slush,Water,"Fruity, Sweet",Yes,"70, 100",No,No,No,No,No,No
Matcha Red Bean Slush,Slush,Milk,"Sweet, Savory",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Honey Guava Slush,Slush,Water,"Rich, Sweet, Fruity",Yes,"70, 100",No,No,No,No,No,No
Mango Slush,Slush,Water,"Sweet, Refreshing, Fruity",Yes,"70, 100",No,No,No,No,Yes,No
White Grape Slush,Slush,Water,"Sweet, Refreshing, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,Yes,No
Pineapple Slush,Slush,Water,"Sweet, Fruity",Yes,"30, 50, 70, 100",No,No,No,No,Yes,No
Cocoa Lava Slush,Slush,Milk,"Oreo, Chocolate, Creamy, Rich, Chocolate",Yes,"0, 30, 50, 70, 100, 120",No,No,Yes,No,No,Yes
Passion Fruit Slush,Slush,Water,"Sweet, Refreshing, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,Yes,No
Strawberry Milk Slush,Slush,Milk,"Sweet, Refreshing, Fruity",Yes,"70, 100",No,No,No,Yes,No,Yes
S'mores Slush,Slush,Water,"Chocolate, Creamy, Chocolate",Yes,"0, 30, 50, 70, 100, 120",No,No,Yes,No,No,No
Coffee Slush,Slush,Coffee,"Coffee, Bold, Creamy",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Mocha Slush,Slush,Coffee,"Rich, Chocolate, Coffee",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Caramel Macchiato Slush,Slush,Coffee,"Sweet, Coffee, Caramel",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Pina Colada Slush,Slush,Water,"Sweet, Refreshing, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,No,Yes
Mango Snow,Slush,Water,"Sweet, Creamy, Refreshing, Fruity",Yes,"70, 100",No,No,No,No,No,Yes
Caribbean Breeze ,Slush,Water,"Fruity, Bold",No,100,No,No,No,No,No,No
Oreo Slush,Slush,Milk,"Sweet, Oreo, Chocolate",Yes,"70, 100",No,No,Yes,No,No,Yes
Mango Creamsicle,Slush,Water,"Citrusy, Icy, Creamy, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,No,Yes
Lemon Almond Pie,Slush,Water,"Fruity, Nutty, Smooth, Savory",Yes,"30, 50, 70, 100, 120",Tree Nut,No,No,No,No,No
Cocoa Cream Wow,Milk Strike,Milk,"Creamy, Sweet, Chocolate",No,100,No,No,No,Yes,No,Yes
Matcha Milk,Milk Strike,Milk,"Creamy, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Oreo Wow,Milk Strike,Milk,"Creamy, Sweet, Oreo",No,100,No,No,Yes,Yes,No,Yes
Chai Milk,Milk Strike,Milk,"Creamy, Normal, Sweet",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,Yes,No,Yes
Sesame Matcha Milk,Milk Strike,Milk,"Creamy, Normal, Bittersweet, Savory, Smooth",No,100,No,Yes,No,No,No,Yes
Ginger Milk,Milk Strike,Milk,"Creamy, Sweet, Spicy",Yes,"70, 100",No,No,No,Yes,No,Yes
Red Bean Wow,Milk Strike,Milk,"Creamy, Sweet, Spicy",No,100,No,No,No,Yes,No,Yes
Herbal Jelly Wow,Milk Strike,Milk,"Creamy, Sweet, Earthy, Normal",No,100,No,No,No,Yes,No,Yes
Iced Cocoa,Milk Strike,Milk,"Creamy, Sweet, Chocolate",Yes,"0, 30, 50, 70, 100, 120",No,No,Yes,No,No,Yes
Hot Cocoa,Milk Strike,Milk,"Creamy, Sweet, Chocolate",Yes,"0, 30, 50, 70, 100, 120",No,No,Yes,No,No,Yes
Thai Tea Latte,Milk Strike,"Milk, Thai","Creamy, Sweet, Spicy",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,Yes,No,Yes
Honey Thai Tea Latte,Milk Strike,"Milk, Thai","Creamy, Sweet, Spicy",Yes,"30, 50, 70",No,Yes,No,Yes,No,Yes
Winter Melon Milk ,Milk Strike,Milk,"Creamy, Smooth",Yes,"70, 100",No,No,No,No,No,No
Cereal Milk Cronch,Milk Strike,Water,"Creamy, Savory",Yes,"0, 30, 50, 70, 100, 120",No,No,Yes,Yes,No,No
Strawberry Milk Cronch,Milk Strike,Oat Milk,"Creamy, Savory, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,No,Yes,Yes,No,No
Doucle Chocolate Milk Cronch,Milk Strike,Oat Milk,"Creamy, Sweet, Oreo, Chocolate",Yes,"0, 30, 50, 70, 100, 120",No,No,Yes,Yes,No,No
Yogurt Green Tea,Yogurt,"Yogurt, Green","Normal, Sweet, Tart",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Yogurt Peach Ade,Yogurt,Yogurt,"Sweet, Tart, Refreshing, Fruity",Yes,"70, 100",No,No,No,No,No,Yes
Yogurt Orange,Yogurt,Yogurt,"Sweet, Tangy, Refreshing, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,No,Yes
Yogurt Grapefruit,Yogurt,Yogurt,"Sweet, Tangy, Refreshing, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,No,Yes
Yogurt Strawberry Lemonade,Yogurt,Yogurt,"Sweet, Tangy, Refreshing, Fruity, Smooth",Yes,"70, 100",No,No,No,No,No,Yes
Yogurt Lemonade,Yogurt,Yogurt,"Sweet, Tangy, Refreshing, Fruity, Smooth",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,No,Yes
Macchiato,Espresso,Coffee,"Sweet, Bold, Coffee, Caramel",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Coffee,Espresso,Coffee,"Sweet, Bold, Coffee",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Mocha,Espresso,Coffee,"Sweet, Bold, Coffee, Chocolate",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,Yes,No,Yes
Latte,Espresso,Coffee,"Sweet, Creamy, Coffee",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,Yes,No,Yes
S'mores Coffee Slush,Espresso,Coffee,"Rich, Sweet, Coffee, Chocolate",Yes,"0, 30, 50, 70, 100, 120",No,Yes,Yes,No,No,Yes
Cappuccino,Espresso,Coffee,"Bold, Creamy, Coffee",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,Yes,No,Yes
Coffee Wow Milk Cap,Espresso,"Coffee, Milk","Sweet, Creamy, Coffee",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Thai Tea Milk Cap,Milk Cap,Thai,"Creamy, Normal, Salty",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Winter Melon Tea Cap,Milk Cap,Water,"Creamy, Normal, Sweet, Smooth, Salty",Yes,"30, 50, 70, 100",No,No,No,No,No,Yes
Honey Black Tea Cap,Milk Cap,Black,"Creamy, Normal, Sweet, Salty",Yes,"30, 50, 70, 100",No,Yes,No,No,No,Yes
Honey Green Tea Cap,Milk Cap,Green,"Creamy, Normal, Sweet, Salty",Yes,"30, 50, 70, 100",No,Yes,No,No,No,Yes
Honey Oolong Tea Cap,Milk Cap,Oolong,"Creamy, Normal, Sweet, Salty",Yes,"30, 50, 70, 100",No,Yes,No,No,No,Yes
Sunshine Pineapple Tea Cap,Milk Cap,Water,"Creamy, Refreshing, Normal, Salty, Fruity",Yes,"30, 50, 70, 100",No,No,No,No,No,Yes
Black Tea Wow Milk Cap,Milk Cap,Black,"Creamy, Normal, Sweet, Salty",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Green Tea Wow Milk Cap,Milk Cap,Green,"Creamy, Normal, Sweet, Salty",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Oolong Tea Wow Milk Cap,Milk Cap,Oolong,"Creamy, Normal, Sweet, Salty",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Matcha Milk Cap,Milk Cap,"Water, Milk","Creamy, Normal, Salty",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Cocoa Cream Wow Milk Cap,Milk Cap,Milk,"Creamy, Sweet, Salty, Chocolate",No,100,No,No,No,Yes,No,Yes
